,buy/sell/hold,cash,dayly return/losses percentage,dayly return/losses,good trade
0,hold,1000.0,0.0,0.0,False
1,hold,1000.0,0.0,0.0,False
2,hold,1000.0,0.0,0.0,False
3,hold,1000.0,0.0,0.0,False
4,hold,1000.0,0.0,0.0,False
5,hold,1000.0,0.0,0.0,False
6,hold,1000.0,0.0,0.0,False
7,hold,1000.0,0.0,0.0,False
8,hold,1000.0,0.0,0.0,False
9,hold,1000.0,0.0,0.0,False
10,hold,1000.0,0.0,0.0,False
11,hold,1000.0,0.0,0.0,False
12,sell,1000.0,0.0,0.0,False
13,hold,1019.9021120391551,1.990211203915515,19.9021120391551,True
14,hold,1030.2973878810449,1.0192425056465337,10.39527584188977,True
15,hold,1037.6868649252542,0.7172178762295811,7.389477044209343,True
16,hold,1047.0021811991276,0.8977001240682014,9.31531627387335,True
17,hold,1053.2425387029846,0.5960214425446475,6.2403575038570125,True
18,hold,1146.3744214502315,8.842396629928583,93.13188274724689,True
19,hold,1209.937756024898,5.544727218726231,63.56333457466644,True
20,hold,1131.8880672447733,-6.450719335889421,-78.0496887801246,False
21,hold,1166.3988934404426,3.048961040792242,34.510826195669324,True
22,hold,1191.2220035111986,2.128183609428591,24.823110070756,True
23,hold,1167.2820130871949,-2.009700152737204,-23.93999042400378,False
24,hold,1164.8826940469226,-0.20554750380558096,-2.399319040272303,False
25,hold,1151.5826993669205,-1.1417454090417056,-13.2999946800021,False
26,hold,1144.9167420333033,-0.5788518130119269,-6.665957333617143,False
27,hold,1164.6379741448104,1.7225036011337735,19.721232111507106,True
28,hold,1169.4791722083312,0.4156826559837734,4.841198063520778,True
29,hold,1153.9181784327288,-1.3305917835388592,-15.560993775602356,False
30,hold,1054.2958982816408,-8.633392038800935,-99.62228015108803,False
31,buy,1054.2958982816408,0.0,0.0,False
32,hold,1034.8847800703277,-1.8411451892159092,-19.411118211313124,False
33,hold,1014.7617150075597,-1.9444739598354577,-20.123065062767978,False
34,hold,1006.4564635282691,-0.8184435179670491,-8.305251479290632,False
35,hold,1027.3556623780753,2.0765129548218297,20.899198849806226,True
36,hold,1021.5658081340875,-0.5635686311968757,-5.789854243987747,False
37,hold,1015.3199325574399,-0.6114021756518984,-6.245875576647677,False
38,hold,995.5387124359136,-1.9482745770291743,-19.781220121526303,False
39,hold,1001.1089469754136,0.5595196319257756,5.570234539500007,True
40,hold,1012.4974518175427,1.137588958378255,11.388504842129123,True
41,hold,1043.6092090018008,3.072773874977086,31.111757184258067,True
42,hold,1017.8057579263275,-2.4725204466290562,-25.803451075473276,False
43,hold,1025.3601878891236,0.7422270805568454,7.554429962796121,True
44,hold,1043.0204980810227,1.7223518525968595,17.660310191899043,True
45,hold,1032.9014951369575,-0.9701633824725775,-10.119002944065187,False
46,hold,1050.4474255554967,1.698703167838156,17.54593041853923,True
47,hold,1029.4249386061144,-2.0012888258796213,-21.022486949382255,False
48,hold,1015.1794710113186,-1.3838277139550215,-14.245467594795855,False
49,hold,1026.5511815293396,1.1201675016824897,11.371710518021018,True
50,hold,985.809601573913,-3.9687821404803647,-40.74157995542657,False
51,hold,1001.6517750760754,1.6070216273882165,15.842173502162382,True
52,hold,965.4028273644079,-3.6189171340423543,-36.24894771166748,False
53,hold,999.7717906547094,3.5600644949559834,34.36896329030151,True
54,hold,995.339076564444,-0.4433725907952102,-4.432714090265449,False
55,hold,988.89287749054,-0.6476385008568175,-6.44619907390404,False
56,hold,993.1864967398722,0.43418446497742735,4.29361924933221,True
57,hold,997.8095450313429,0.46547635380120855,4.623048291470695,True
58,hold,996.3015972395293,-0.15112581347036524,-1.5079477918135353,False
59,hold,994.7247444935775,-0.15827062310457274,-1.5768527459517827,False
60,hold,1003.3065647762463,0.8627331661521964,8.581820282668787,True
61,hold,998.7125110647622,-0.45789132382569875,-4.594053711484094,False
62,hold,1061.49806239652,6.2866491243631195,62.7855513317578,True
63,sell,1061.49806239652,0.0,0.0,False
64,hold,1056.9169541418994,-0.43157010049345024,-4.581108254620631,False
65,hold,1048.7672884416245,-0.7710790964547964,-8.149665700274909,False
66,hold,1056.7418102181864,0.760370948297906,7.9745217765619145,True
67,hold,1047.070581680654,-0.9151931383821754,-9.671228537532443,False
68,hold,1058.7614385885029,1.1165299753798763,11.69085690784891,True
69,hold,1049.818151983903,-0.8446932688182085,-8.943286604599962,False
